listing_id,comments
47755079,"Wonderful host, spotless place, would absolutely stay again."
47755079,"Everything was exactly as described, great communication throughout."
47755079,Perfect location and a really comfortable bed. No complaints at all.
47755079,"Lovely stay, though it did feel a little overpriced for what was included."
47854557,"Fantastic host, always quick to respond and very welcoming."
47854557,"Beautiful apartment, exactly as pictured, would recommend to anyone."
25528620,"Arrived to find the bathroom was not clean, which was disappointing."
25528620,The kitchen smelled a bit and had some dust on the shelves.
25528620,Kitchen was missing basic things like a can opener and dish soap.
25528620,"Lovely stay overall, host was warm and welcoming."
